team,season,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,win,made_playoffs
BKN,2020,111.7777778,40.38888889,90.25,44.84444444,13.06944444,38.13888889,34.50972222,17.93055556,24.05555556,74.65,10.63888889,37.26388889,47.90277778,24.45833333,15.26388889,6.444444444,4.486111111,20.97222222,-0.569444444,0.486111111,1
BKN,2021,118.5694444,43.13888889,87.34722222,49.53888889,14.16666667,36.11111111,38.90277778,18.125,22.54166667,80.35833333,8.888888889,35.54166667,44.43055556,26.79166667,13.54166667,6.722222222,5.263888889,19.04166667,4.5,0.666666667,1
BKN,2022,112.902439,41.97560976,88.42682927,47.67195122,11.46341463,31.73170732,35.96463415,17.48780488,21.7195122,80.4,10.29268293,34.09756098,44.3902439,25.25609756,14.06097561,7.097560976,5.463414634,20.36585366,0.780487805,0.536585366,1
BKN,2023,113.3536585,41.45121951,85.09756098,48.84878049,12.7804878,33.79268293,38.01341463,17.67073171,22.08536585,80.11097561,8.219512195,32.29268293,40.51219512,25.52439024,13.74390244,7.134146341,6.170731707,21.09756098,0.853658537,0.548780488,0
BKN,2024,110.3658537,40.65853659,89.1097561,45.71097561,13.2804878,36.70731707,36.18170732,15.76829268,20.86585366,76.19390244,11.43902439,32.62195122,44.06097561,25.63414634,13.12195122,6.780487805,5.170731707,18.48780488,-2.890243902,0.390243902,0
BOS,1997,100.5853659,37.3902439,84.96341463,44.17560976,5.695121951,16.23170732,34.36707317,20.1097561,26.81707317,74.73170732,13.34146341,26.68292683,40.02439024,21.85365854,16.36585366,9.890243902,3.841463415,23.35365854,-7.329268293,0.182926829,0
BOS,1998,95.90243902,36.73170732,84.56097561,43.5304878,5.06097561,15.23170732,32.84268293,17.37804878,23.95121951,72.30731707,14.58536585,24.92682927,39.51219512,22.14634146,16.2195122,12.03658537,4.463414634,26.86585366,-2.62195122,0.43902439,0
BOS,1999,93,36.32,83.28,43.61,5.46,15.16,34.65,14.9,21.54,69.026,13.6,29.16,42.76,21.46,16.14,9.06,5.1,23.86,-1.86,0.38,0
BOS,2000,99.34146341,37.24390244,83.90243902,44.45487805,5.085365854,15.36585366,32.81219512,19.76829268,26.52439024,74.44512195,13.51219512,29.51219512,43.02439024,21.23170732,15.35365854,9.695121951,3.487804878,27.1097561,-0.756097561,0.426829268,0
BOS,2001,94.62195122,33.81707317,79.08536585,42.85487805,7.219512195,19.91463415,35.6804878,19.76829268,26.70731707,73.6402439,10.93902439,28.86585366,39.80487805,20.82926829,15.67073171,9.37804878,4.097560976,23.80487805,-2.134146341,0.43902439,0
